cover_average-length,cover_brief,cover_concise,cover_extensive,cover_long,cover_medium-length,cover_moderate-length,cover_short,cover_verbose,email_average-length,email_brief,email_concise,email_extensive,email_long,email_medium-length,email_moderate-length,email_short,email_verbose,essay_average-length,essay_brief,essay_concise,essay_extensive,essay_long,essay_medium-length,essay_moderate-length,essay_short,essay_verbose,explanation_average-length,explanation_brief,explanation_concise,explanation_extensive,explanation_long,explanation_medium-length,explanation_moderate-length,explanation_short,explanation_verbose,social_average-length,social_brief,social_concise,social_extensive,social_long,social_medium-length,social_moderate-length,social_short,social_verbose
1297,1282,768,1772,2301,1591,1746,954,1795,1390,1168,989,1433,1559,858,1283,837,1237,2697,2373,1862,2806,3114,2774,2564,2105,3244,1230,954,905,1918,1935,1612,1595,769,1938,720,519,388,1534,1382,1000,974,551,1191
1403,1131,741,1911,2076,1822,1280,1091,1998,1166,1277,922,1496,1291,1307,1390,742,1487,2225,2072,2014,2782,3312,3104,2758,2183,3070,1402,986,1194,1971,2396,1469,1451,949,1452,828,464,465,1246,1283,877,901,499,1506
1164,1041,957,2197,2061,1495,1557,761,1641,1304,981,780,1600,1720,1060,1013,1036,1384,2280,2170,1834,2587,3091,2677,3035,2533,3013,1819,1075,1342,1519,2300,1544,1235,1105,1529,737,664,383,1429,1218,894,831,459,1411
1382,960,837,1721,1713,1465,1342,968,2038,1019,814,1129,1459,1343,1039,1216,919,1565,2362,2133,1777,2984,3733,2312,3046,2907,2779,1165,1583,972,2405,2153,994,1631,818,2024,835,555,430,1364,1184,1068,1025,476,1355
1302,1457,921,1666,1925,1755,1340,975,2179,1057,826,708,1749,1255,1073,1046,792,1666,2604,1545,2008,3249,2736,2873,2710,1806,2664,1339,1131,1054,1528,4751,2158,1841,1011,2043,716,491,448,1329,1177,1102,998,529,1600
1234,1086,1083,1868,1742,1574,1321,963,1490,1652,941,819,1413,2023,1462,998,1026,1451,2813,2053,1990,3046,2574,2209,2787,1202,2449,1214,992,1212,1927,2639,1693,2058,2004,2194,919,740,497,1377,1206,881,1085,705,1527
1624,994,801,1737,2222,1595,1427,891,1664,1258,797,817,1245,1983,1292,1274,861,1338,2966,1725,1658,2854,3209,2338,2967,1742,2543,1686,1160,824,2427,2023,1360,1662,1177,2130,520,516,519,1321,1334,1027,947,571,1337
1452,1158,955,1785,1913,1159,1413,980,1678,1161,697,745,1139,1779,1633,1478,813,1375,2961,2066,1600,2836,2926,2164,2851,2054,3307,1372,1719,789,2093,1745,1072,2179,1119,1882,870,597,514,1348,1186,775,929,584,1671
1442,1105,1018,1368,1770,957,1616,1351,1899,975,1112,726,1402,1302,1022,1203,908,1834,3080,2267,2105,2775,2978,2457,2258,2285,2777,1226,1107,689,2626,3026,1556,1690,781,1533,657,698,413,1674,1297,776,1064,538,1342
1584,1048,1113,2217,2055,1955,1293,1378,2039,1460,870,950,1486,1355,1717,1095,811,1543,2749,2043,1421,2894,2999,2602,2765,2379,2598,1462,1414,837,2752,2475,1530,1474,818,2519,932,683,543,1251,1265,1248,994,449,1055
1493,961,1432,1668,2084,1380,1844,1051,1759,986,837,1020,1468,1563,1407,1456,1069,1369,2510,1932,2008,3623,2376,2600,2465,1782,2827,1296,1089,691,2085,2267,1456,2045,919,1268,745,515,405,1755,1517,1050,1002,416,1287
1379,1001,847,2046,2062,1695,1547,913,1859,979,730,896,1139,1633,843,1226,638,1300,2482,2225,2006,2873,2788,2907,2630,1930,2606,1293,1211,1161,1549,2218,1190,2315,911,1834,664,488,498,1182,1740,855,754,584,1441
1707,930,906,1800,1957,1483,1521,1264,1990,1404,960,994,1211,1690,1073,975,945,1286,2928,2216,2022,2694,3119,2991,2566,2333,2701,1337,1146,507,2787,2248,1699,1485,695,2532,865,449,582,1285,1384,886,848,470,1276
1133,1193,839,1560,1989,1340,1629,1176,2086,899,876,717,1408,1289,1384,1175,949,1287,2637,1747,2057,3193,2746,2520,2497,1911,2554,1517,1276,981,1800,2874,1772,1494,1584,1926,838,783,426,1431,1459,830,1152,453,1150
1541,1139,902,1997,1982,1406,1444,902,1698,1191,900,914,1416,1150,962,1344,734,1493,2982,1989,2228,3038,2955,3037,2564,1878,3006,1428,1392,1380,2584,1592,1622,1782,971,2423,605,715,414,1537,1096,863,769,503,1385
