cover_average-length.csv,cover_brief.csv,cover_concise.csv,cover_extensive.csv,cover_long.csv,cover_medium-length.csv,cover_moderate-length.csv,cover_short.csv,cover_verbose.csv,email_average-length.csv,email_brief.csv,email_concise.csv,email_extensive.csv,email_long.csv,email_medium-length.csv,email_moderate-length.csv,email_short.csv,email_verbose.csv,essay_average-length.csv,essay_brief.csv,essay_concise.csv,essay_extensive.csv,essay_long.csv,essay_medium-length.csv,essay_moderate-length.csv,essay_short.csv,essay_verbose.csv,explanation_average-length.csv,explanation_brief.csv,explanation_concise.csv,explanation_extensive.csv,explanation_long.csv,explanation_medium-length.csv,explanation_moderate-length.csv,explanation_short.csv,explanation_verbose.csv,social_average-length.csv,social_brief.csv,social_concise.csv,social_extensive.csv,social_long.csv,social_medium-length.csv,social_moderate-length.csv,social_short.csv,social_verbose.csv
1078,956,1090,1061,1057,1221,867,1009,1023,835,719,830,1089,988,1168,866,1238,903,2318,1696,1917,2086,2142,2492,2032,2418,1859,1014,1033,1094,919,1754,826,788,885,1181,558,451,558,484,761,612,654,437,565
1015,923,1176,1102,1029,1181,1363,1078,1078,720,845,794,780,957,833,994,981,844,1839,1887,1662,2321,2117,2092,1901,2198,2355,747,962,873,892,899,1247,1170,1126,1263,589,513,431,526,549,666,499,445,511
1092,1146,1135,778,1065,857,1268,1258,950,1016,1035,889,763,869,1083,706,703,869,1895,1796,2394,1955,2050,1834,1772,2206,1603,921,838,1074,1115,1138,1455,1349,708,1260,561,615,731,542,806,609,573,625,463
1022,1172,1120,1210,1077,1316,1231,853,1030,810,958,922,832,772,1091,932,855,870,1909,1864,1706,2458,2158,1646,2238,2162,2069,1211,1079,765,891,1072,918,1227,831,1132,419,466,436,470,534,596,589,568,616
843,1127,1089,1085,1006,735,958,1340,1009,730,943,1032,802,805,925,1144,815,810,2181,1956,2193,1961,2005,1671,2474,1984,2130,1169,1140,1234,1111,950,1100,922,1133,990,521,531,423,473,493,513,533,520,544
960,1173,1035,1062,706,922,1065,1118,1017,849,803,885,847,769,818,1051,1064,894,2178,1959,2000,2124,1801,2197,1941,2446,1846,900,1203,1026,1071,1310,930,1137,992,940,377,456,823,397,629,675,490,627,488
792,1170,1149,1192,1361,1037,1252,938,1302,1177,864,876,1326,976,983,1113,804,959,2075,1824,1833,1898,1773,1772,1808,1748,2055,875,1068,1093,1029,959,1304,1067,1054,720,540,619,452,613,563,496,458,507,478
1102,1067,937,1425,669,1224,1139,961,859,849,1081,741,797,763,1005,1015,841,689,1625,1872,1853,2060,2018,2210,2234,2044,1854,1090,923,929,979,1023,839,1111,1046,1004,761,527,520,394,553,446,444,539,453
1057,1138,1260,1427,936,1201,1137,1047,1161,772,825,1179,878,1028,939,904,1096,799,2096,2061,2136,1557,2192,1702,2201,2348,1727,763,915,1042,957,890,1116,908,1135,1059,552,705,506,495,535,444,488,513,494
890,911,909,682,1109,1173,1327,1077,1025,998,753,952,1106,1054,785,1302,932,900,2278,1837,2184,2335,2076,1900,1888,1729,1910,878,2488,2053,1099,950,870,1338,885,773,863,464,406,883,662,535,487,583,580
996,1257,1106,1005,1221,1168,934,1189,1101,1097,756,820,917,953,1160,1062,936,928,1903,2089,2064,1903,1809,2261,1838,1564,2121,1207,1325,848,910,1179,934,980,1500,1147,587,717,618,534,582,494,536,465,421
879,1118,1333,1134,804,983,915,922,862,679,697,1079,951,919,925,1191,912,787,1932,1982,1821,2187,1993,1795,2003,2160,2339,768,1201,993,869,1655,929,801,1484,1352,579,535,365,410,523,590,541,548,613
